id,technology,quadrant,phase
tech-136,Gatsby,Languages & Frameworks,Hold
tech-137,Remix,Languages & Frameworks,Trial
tech-138,SvelteKit,Languages & Frameworks,Hold
tech-139,Astro,Languages & Frameworks,Assess
tech-140,Qwik,Languages & Frameworks,Assess
tech-141,Solid.js,Languages & Frameworks,Adopt
tech-142,Preact,Languages & Frameworks,Hold
tech-143,Lit,Languages & Frameworks,Assess
tech-144,Stencil,Languages & Frameworks,Adopt
tech-145,Web Components,Languages & Frameworks,Trial
tech-146,Blazor,Languages & Frameworks,Hold
