id,applicationName,componentName,runtime,framework,databases,integrations,storages
tech-23,Sales Gateway,Sales Gateway Processor,.NET 7,ASP.NET Core,Oracle,"Step Functions,AMQP,Kinesis","FSx,Glacier,EBS"
tech-24,Sales Gateway,Sales Gateway Frontend,Node.js 20,React,Redshift,"gRPC,WebSockets,Auth0","FSx,Glacier,S3"
tech-25,Sales Gateway,Sales Gateway Frontend,.NET 7,Gin,Redshift,RabbitMQ,"S3,Backup,EFS"
tech-26,Finance Dashboard,Finance Dashboard API,Ruby 3.0,React,"Timestream,Neptune","Step Functions,Kinesis,REST API","FSx,Glacier"
tech-27,Finance Dashboard,Finance Dashboard Processor,Ruby 3.1,Angular,,Kafka,"S3,CloudFront"
tech-28,Finance Dashboard,Finance Dashboard Service,Ruby 3.1,FastAPI,PostgreSQL,"AMQP,Kafka,MQTT,REST API","CloudFront,Backup,S3"
tech-29,Finance Dashboard,Finance Dashboard Frontend,Python 3.12,Ruby on Rails,,GraphQL,"Backup,FSx"
tech-30,Engineering Engine,Engineering Engine Processor,.NET 6,Solid.js,Cassandra,Kafka,"EFS,Storage Gateway"
tech-31,Engineering Engine,Engineering Engine Backend,Python 3.10,Spring Boot,"MariaDB,Cassandra,Aurora MySQL","Auth0,WebSockets,Cognito","FSx,Storage Gateway"
tech-32,E-Commerce Management System,E-Commerce Management System,PHP 8.1,Svelte,Redis,"Auth0,Step Functions,gRPC","CloudFront,Backup,S3"
tech-33,IT Application,IT Application Backend,PHP 8.2,Svelte,"Cassandra,Redshift,Aurora PostgreSQL",Kafka,EBS
tech-34,IT Application,IT Application Processor,.NET 6,FastAPI,"Elasticsearch,Redshift","GraphQL,Kinesis,WebSockets",Storage Gateway
tech-35,IT Controller,IT Controller Frontend,Node.js 16,Solid.js,PostgreSQL,"Step Functions,Cognito,RabbitMQ,MQTT",EFS
tech-36,IT Controller,IT Controller Service,PHP 8.1,Spring Boot,,"MQTT,GraphQL,Kafka,SQS",FSx
tech-37,IT Controller,IT Controller Backend,Java 11,Vue.js,"Timestream,DocumentDB,MySQL","Kinesis,Cognito","EBS,S3"
tech-38,Risk Management Controller,Risk Management Controller Worker,.NET 7,FastAPI,Aurora MySQL,"WebSockets,RabbitMQ,EventBridge,AMQP",Glacier
tech-39,Risk Management Controller,Risk Management Controller API,Java 11,Svelte,Neptune,"SQS,GraphQL",FSx
tech-40,Risk Management Controller,Risk Management Controller Backend,Python 3.12,Remix,,"Kafka,Auth0,RabbitMQ","FSx,EBS"
tech-41,Risk Management Controller,Risk Management Controller Processor,Python 3.9,Spring Boot,"Neptune,Timestream","MQTT,Auth0,GraphQL","CloudFront,EBS,FSx"
tech-42,Risk Management Controller,Risk Management Controller Backend,Python 3.10,Gin,Timestream,"GraphQL,AMQP","EFS,S3,CloudFront"
tech-43,Sales Engine 15,Sales Engine 15 Processor,Go 1.21,Svelte,Oracle,Auth0,FSx
tech-44,Sales Engine 15,Sales Engine 15 Backend,Go 1.20,Next.js,"MongoDB,Redis,Neo4j",GraphQL,FSx
tech-45,Sales Engine 15,Sales Engine 15 Frontend,PHP 8.2,Ruby on Rails,"Oracle,DocumentDB","GraphQL,Auth0",Backup
tech-46,Sales Engine 15,Sales Engine 15 API,Node.js 16,ASP.NET Core,"Elasticsearch,PostgreSQL,SQL Server","SQS,Kafka,GraphQL",Glacier
tech-47,Sales Engine 15,Sales Engine 15 Backend,Node.js 20,Nuxt.js,,"RabbitMQ,Kafka,MQTT,SNS","FSx,EFS,Glacier"
tech-48,Sales Dashboard,Sales Dashboard,Ruby 3.0,Echo,,"AMQP,SNS,Auth0,gRPC",EBS
tech-49,Manufacturing Portal 17,Manufacturing Portal 17 Service,Python 3.9,React,Aurora PostgreSQL,"Cognito,SNS",Storage Gateway
tech-50,Manufacturing Portal 17,Manufacturing Portal 17 Backend,Python 3.12,Echo,"Redshift,Aurora MySQL,Aurora PostgreSQL","Auth0,WebSockets","FSx,EBS,S3"
tech-51,Manufacturing Portal 17,Manufacturing Portal 17 Service,Java 17,Echo,,"Cognito,gRPC","S3,Storage Gateway"
tech-52,Manufacturing Portal 17,Manufacturing Portal 17 Worker,Node.js 18,Ruby on Rails,,"WebSockets,Kafka,Step Functions,gRPC",EFS
tech-53,Manufacturing Portal 17,Manufacturing Portal 17 API,Python 3.12,Ruby on Rails,Aurora MySQL,REST API,"FSx,S3"
tech-54,Customer Service Dashboard,Customer Service Dashboard Service,Node.js 16,Flask,"MySQL,Timestream","Kafka,GraphQL,REST API,MQTT","Backup,CloudFront,EBS"
tech-55,Customer Service Dashboard,Customer Service Dashboard Processor,Node.js 18,Svelte,"PostgreSQL,MySQL,Oracle","Cognito,Step Functions,Kinesis,AMQP","EFS,CloudFront,Backup"
tech-56,Customer Service Dashboard,Customer Service Dashboard Service,.NET 7,Flask,"Oracle,Aurora PostgreSQL","SNS,AMQP,GraphQL,RabbitMQ",EBS
tech-57,Customer Service Dashboard,Customer Service Dashboard Worker,Ruby 3.0,Vue.js,"PostgreSQL,MySQL","RabbitMQ,Kinesis,EventBridge,REST API",Storage Gateway
tech-58,Customer Service Dashboard,Customer Service Dashboard Frontend,Go 1.20,React,"CouchDB,Timestream,MongoDB","REST API,Step Functions,SNS",Backup
tech-59,Business Development Platform,Business Development Platform Backend,Java 11,ASP.NET Core,,REST API,"Storage Gateway,FSx,EFS"
tech-60,Business Development Platform,Business Development Platform Service,Python 3.9,Laravel,,"REST API,AMQP,EventBridge,SNS",CloudFront
tech-61,Business Development Platform,Business Development Platform Frontend,Python 3.12,Vue.js,"PostgreSQL,MySQL","RabbitMQ,REST API",FSx
tech-62,Manufacturing Tool,Manufacturing Tool Service,.NET 7,Express.js,,MQTT,EBS
tech-63,Manufacturing Tool,Manufacturing Tool API,Node.js 18,Flask,,"Cognito,REST API,SNS",CloudFront
tech-64,Finance Tracker,Finance Tracker API,Node.js 20,Spring Boot,,Kinesis,"EBS,Storage Gateway,Backup"
tech-65,Finance Tracker,Finance Tracker Service,Python 3.12,Svelte,"Elasticsearch,MariaDB","GraphQL,SQS,AMQP,Kafka","EBS,Glacier"
tech-66,Finance Tracker,Finance Tracker Processor,Python 3.11,FastAPI,"DynamoDB,SQL Server,DocumentDB",MQTT,CloudFront
tech-67,Finance Tracker,Finance Tracker Worker,PHP 8.1,Next.js,"DocumentDB,Neo4j","GraphQL,MQTT,RabbitMQ",EFS
tech-68,Legal Monitor 22,Legal Monitor 22 Frontend,Java 11,Express.js,"Aurora PostgreSQL,DocumentDB",Kafka,"Glacier,S3"
tech-69,Legal Monitor 22,Legal Monitor 22 Processor,Ruby 3.0,ASP.NET Core,MySQL,"gRPC,WebSockets,SQS,MQTT",CloudFront
tech-70,Legal Monitor 22,Legal Monitor 22 Processor,Node.js 16,Flask,"CouchDB,PostgreSQL","RabbitMQ,gRPC",FSx
tech-71,Legal Monitor 22,Legal Monitor 22 API,PHP 8.1,Svelte,"Oracle,Elasticsearch","MQTT,Kafka,gRPC,GraphQL","CloudFront,FSx,S3"
tech-72,Legal Monitor 22,Legal Monitor 22 Service,Java 21,FastAPI,"Oracle,Redshift,CouchDB","Cognito,MQTT,gRPC","Glacier,CloudFront"
tech-73,R&D Gateway,R&D Gateway API,Node.js 18,Django,MongoDB,"SQS,Cognito,gRPC,Kinesis","Backup,EBS,FSx"
tech-74,R&D Gateway,R&D Gateway Frontend,PHP 8.1,Django,Elasticsearch,"Kafka,WebSockets,Cognito",CloudFront
tech-75,R&D Gateway,R&D Gateway Worker,.NET 6,Echo,"Aurora MySQL,SQL Server","WebSockets,Cognito","Backup,CloudFront"
tech-76,R&D Gateway,R&D Gateway Service,PHP 8.1,Flask,Aurora PostgreSQL,"WebSockets,Cognito","S3,EFS"
tech-77,Product Portal 24,Product Portal 24 Frontend,Python 3.10,Spring Boot,CouchDB,"GraphQL,AMQP,RabbitMQ","Backup,EFS"
tech-78,Product Portal 24,Product Portal 24 Frontend,PHP 8.2,Next.js,"Cassandra,Aurora MySQL,CouchDB",Step Functions,EBS
tech-79,Product Portal 24,Product Portal 24 Backend,Java 21,Laravel,"MariaDB,Neo4j,CouchDB","WebSockets,MQTT","FSx,S3"
tech-80,Product Portal 24,Product Portal 24 Worker,Java 11,FastAPI,MongoDB,"Auth0,RabbitMQ",Storage Gateway
tech-81,Sales Tool,Sales Tool Backend,PHP 8.1,React,Neo4j,"Kafka,Kinesis",S3
tech-82,Sales Tool,Sales Tool Worker,Python 3.9,Express.js,,RabbitMQ,"Storage Gateway,EFS,FSx"
tech-83,Sales Tool,Sales Tool Worker,PHP 8.2,Echo,SQL Server,"WebSockets,RabbitMQ,MQTT,Auth0","FSx,S3,Backup"
tech-84,Manufacturing Controller,Manufacturing Controller,Node.js 20,Django,"PostgreSQL,Oracle","Step Functions,RabbitMQ,SNS,Kafka","FSx,CloudFront"
tech-85,Compliance Processor,Compliance Processor Processor,Node.js 18,Express.js,"Timestream,SQL Server",MQTT,"Backup,CloudFront"
tech-86,Compliance Processor,Compliance Processor API,Ruby 3.0,Vue.js,,SNS,"S3,Glacier"
tech-87,Analytics Controller,Analytics Controller Service,Python 3.9,React,"DynamoDB,Aurora PostgreSQL","WebSockets,SNS,REST API","Glacier,Storage Gateway,EBS"
tech-88,Analytics Controller,Analytics Controller Frontend,Python 3.9,ASP.NET Core,PostgreSQL,GraphQL,"Glacier,Storage Gateway"
tech-89,Analytics Controller,Analytics Controller Worker,Node.js 18,Express.js,"DynamoDB,Aurora MySQL,SQL Server","RabbitMQ,Cognito,SQS,MQTT","S3,FSx"
tech-90,Analytics Controller,Analytics Controller API,Python 3.11,FastAPI,"Redshift,Cassandra,DocumentDB","REST API,EventBridge,GraphQL,AMQP","S3,Storage Gateway"
tech-91,HR Monitor,HR Monitor Worker,Python 3.12,Angular,"Neo4j,DynamoDB","gRPC,Kafka,Auth0,WebSockets","EBS,Storage Gateway,S3"
tech-92,HR Monitor,HR Monitor Service,Node.js 18,Solid.js,,"gRPC,Kinesis,Kafka,SNS","FSx,S3,CloudFront"
tech-93,Legal Application,Legal Application API,Go 1.21,Ruby on Rails,"Aurora PostgreSQL,Redis","Cognito,Kafka,AMQP","Backup,Storage Gateway,Glacier"
tech-94,Legal Application,Legal Application Backend,PHP 8.2,Solid.js,"Aurora MySQL,DynamoDB","gRPC,RabbitMQ,EventBridge,SQS",EFS
tech-95,Quality Assurance Processor,Quality Assurance Processor Worker,Java 11,Solid.js,"Neo4j,MySQL","gRPC,Auth0,SNS","CloudFront,FSx,EFS"
tech-96,Quality Assurance Processor,Quality Assurance Processor Frontend,.NET 7,Gin,,"MQTT,EventBridge,Auth0",Storage Gateway
tech-97,Risk Management Processor 32,Risk Management Processor 32 Backend,PHP 8.1,Remix,"MariaDB,Timestream","EventBridge,SNS,Kafka","Storage Gateway,S3,EBS"
tech-98,Risk Management Processor 32,Risk Management Processor 32 API,Node.js 16,Laravel,Aurora MySQL,"Cognito,RabbitMQ,EventBridge,AMQP","Backup,S3"
tech-99,Risk Management Processor 32,Risk Management Processor 32 API,Python 3.10,Flask,DocumentDB,"REST API,GraphQL,SQS",Storage Gateway
tech-100,Risk Management Processor 32,Risk Management Processor 32 Processor,Python 3.10,Ruby on Rails,"SQL Server,MongoDB,Redshift","GraphQL,Step Functions","EBS,CloudFront,S3"
tech-101,Risk Management Processor 32,Risk Management Processor 32 API,Node.js 20,Vue.js,"Timestream,Elasticsearch",AMQP,"Storage Gateway,CloudFront,EFS"
tech-102,Manufacturing Monitor 33,Manufacturing Monitor 33 Service,Python 3.9,Spring Boot,"Timestream,Redshift,Cassandra",MQTT,"EFS,Storage Gateway"
tech-103,Manufacturing Monitor 33,Manufacturing Monitor 33 Backend,Go 1.20,Flask,"MariaDB,Aurora PostgreSQL,Elasticsearch","MQTT,Kafka,GraphQL,Auth0",Storage Gateway
tech-104,Manufacturing Monitor 33,Manufacturing Monitor 33 Frontend,.NET 8,Solid.js,"Redshift,Oracle","WebSockets,Kafka","Storage Gateway,Glacier,Backup"
tech-105,Manufacturing Monitor 33,Manufacturing Monitor 33 Service,Java 17,Django,"Cassandra,DocumentDB,Timestream","AMQP,MQTT",CloudFront
tech-106,Manufacturing Monitor 33,Manufacturing Monitor 33 Service,Go 1.21,Remix,,"REST API,gRPC,WebSockets,SQS",Glacier
tech-107,Manufacturing Service,Manufacturing Service API,.NET 6,Express.js,"PostgreSQL,DocumentDB,MySQL","Auth0,SQS,EventBridge",Storage Gateway
tech-108,Manufacturing Service,Manufacturing Service Service,Go 1.21,Svelte,"Cassandra,Aurora PostgreSQL","SNS,gRPC,Cognito","CloudFront,Glacier"
tech-109,Manufacturing Service,Manufacturing Service Worker,Python 3.9,Vue.js,MariaDB,"REST API,Kinesis,SNS","S3,Backup"
tech-110,Procurement Controller,Procurement Controller Worker,Python 3.12,Fiber,"MongoDB,Redshift","Kafka,Kinesis,GraphQL,SQS",Storage Gateway
tech-111,Procurement Controller,Procurement Controller API,Node.js 16,Angular,"PostgreSQL,DocumentDB","SNS,EventBridge,SQS","Storage Gateway,S3"
tech-112,Procurement Controller,Procurement Controller Service,Python 3.9,Spring Boot,"Timestream,Redis","SQS,RabbitMQ,SNS,MQTT","CloudFront,FSx,EBS"
tech-113,Procurement Controller,Procurement Controller Worker,Node.js 20,Django,"MySQL,Cassandra,PostgreSQL",MQTT,"Backup,Storage Gateway,CloudFront"
tech-114,Procurement Controller,Procurement Controller Backend,Node.js 20,Gin,"Neptune,Cassandra","WebSockets,Auth0,AMQP,Cognito","Storage Gateway,Backup,S3"
tech-115,Product Controller,Product Controller Service,.NET 6,Angular,"Oracle,SQL Server,PostgreSQL","GraphQL,SQS,RabbitMQ,SNS",EBS
tech-116,Product Controller,Product Controller Frontend,.NET 7,Fiber,"DynamoDB,Cassandra,SQL Server",REST API,S3
tech-117,Product Controller,Product Controller Backend,Python 3.10,Vue.js,,"SQS,WebSockets",EBS
tech-118,Product Controller,Product Controller Frontend,PHP 8.1,Spring Boot,Redshift,"Auth0,RabbitMQ,gRPC,EventBridge","Storage Gateway,CloudFront"
tech-119,Product Controller,Product Controller Backend,.NET 6,Laravel,,EventBridge,"CloudFront,Glacier"
tech-120,Engineering Gateway,Engineering Gateway Worker,Ruby 3.1,Spring Boot,,"Kinesis,RabbitMQ,SQS,Auth0","CloudFront,Backup,FSx"
tech-121,Engineering Gateway,Engineering Gateway Backend,Go 1.20,Gin,Timestream,"SNS,EventBridge,Auth0,WebSockets",Glacier
tech-122,Engineering Gateway,Engineering Gateway Worker,.NET 6,Echo,"DocumentDB,Redshift,Timestream","AMQP,Kinesis,SNS,Step Functions","EFS,Backup"
tech-123,Engineering Gateway,Engineering Gateway Worker,Ruby 3.1,Ruby on Rails,MySQL,"Cognito,WebSockets,MQTT","Storage Gateway,CloudFront"
tech-124,Engineering Service,Engineering Service,PHP 8.1,ASP.NET Core,"DynamoDB,Aurora MySQL",REST API,"Glacier,FSx,EFS"
tech-125,Business Development Gateway,Business Development Gateway Frontend,Python 3.11,Spring Boot,"Timestream,Neo4j,Aurora MySQL",EventBridge,FSx
tech-126,Business Development Gateway,Business Development Gateway Backend,Python 3.10,Gin,"Neo4j,Elasticsearch,PostgreSQL","GraphQL,REST API,Auth0","EFS,CloudFront,FSx"
tech-127,Business Development Gateway,Business Development Gateway API,Java 11,FastAPI,"DynamoDB,Redis,Timestream",AMQP,EBS
tech-128,Quality Assurance Tracker,Quality Assurance Tracker API,PHP 8.1,Next.js,MongoDB,"SNS,Kinesis,Auth0",EFS
tech-129,Quality Assurance Tracker,Quality Assurance Tracker Worker,Python 3.9,React,,"GraphQL,REST API,SQS,SNS","Glacier,Storage Gateway,FSx"
tech-130,Quality Assurance Tracker,Quality Assurance Tracker Service,Node.js 16,Ruby on Rails,"Neo4j,Oracle",WebSockets,"Backup,FSx,EBS"
tech-131,Quality Assurance Tracker,Quality Assurance Tracker API,Ruby 3.1,Gin,,"GraphQL,RabbitMQ,Auth0,WebSockets",EBS
tech-132,Analytics Application,Analytics Application Service,Ruby 3.1,Ruby on Rails,"Cassandra,Neo4j","Kafka,REST API","Glacier,S3,Backup"
tech-133,Analytics Application,Analytics Application API,Java 17,FastAPI,,"Kinesis,Step Functions","Backup,Glacier,CloudFront"
tech-134,Analytics Application,Analytics Application Backend,.NET 8,Vue.js,,REST API,"S3,FSx,CloudFront"
tech-135,Analytics Application,Analytics Application API,Python 3.12,Flask,Timestream,"RabbitMQ,REST API,Cognito",S3
tech-136,R&D Portal 42,R&D Portal 42 Service,Python 3.11,React,"Timestream,Redis,Redshift","Kafka,gRPC,Auth0","Glacier,EFS,CloudFront"
tech-137,R&D Portal 42,R&D Portal 42 Backend,.NET 6,Solid.js,"Oracle,Aurora MySQL,Redshift","Step Functions,RabbitMQ","Backup,Storage Gateway,EFS"
tech-138,R&D Portal 42,R&D Portal 42 Worker,PHP 8.1,Svelte,,"MQTT,Kafka",Glacier
tech-139,R&D Portal 42,R&D Portal 42 Service,Node.js 20,Spring Boot,"MongoDB,Redshift",WebSockets,"Glacier,FSx"
tech-140,R&D Portal 42,R&D Portal 42 Worker,Python 3.10,Spring Boot,"Aurora PostgreSQL,Elasticsearch","GraphQL,RabbitMQ,Auth0,gRPC","Glacier,Storage Gateway,EBS"
tech-141,Manufacturing Tool,Manufacturing Tool Worker,PHP 8.1,Nuxt.js,"MongoDB,MySQL,DynamoDB","EventBridge,Kinesis",FSx
tech-142,Manufacturing Tool,Manufacturing Tool API,Node.js 18,Spring Boot,"Elasticsearch,Neo4j,Timestream","REST API,Auth0","EFS,S3,EBS"
tech-143,R&D Tracker,R&D Tracker Backend,Ruby 3.1,Laravel,"Neptune,SQL Server,DocumentDB","Step Functions,RabbitMQ","FSx,EBS,S3"
tech-144,R&D Tracker,R&D Tracker Backend,Python 3.12,Solid.js,,SNS,"Storage Gateway,EBS,EFS"
tech-145,R&D Tracker,R&D Tracker Frontend,.NET 7,Vue.js,"DynamoDB,Redis","Kafka,EventBridge,WebSockets","Backup,EFS,Storage Gateway"
tech-146,R&D Tracker,R&D Tracker Backend,Python 3.10,Spring Boot,"Oracle,Redis,MongoDB","AMQP,SNS","Storage Gateway,EBS,Backup"
tech-147,R&D Management System 45,R&D Management System 45 API,Python 3.12,Svelte,"Redis,Elasticsearch,DynamoDB",SNS,Glacier
tech-148,R&D Management System 45,R&D Management System 45 API,Python 3.9,Express.js,"Redis,Oracle,Cassandra","EventBridge,RabbitMQ","CloudFront,Storage Gateway"
tech-149,Customer Service Platform,Customer Service Platform Frontend,Go 1.21,Angular,MySQL,Step Functions,"EFS,CloudFront,Storage Gateway"
tech-150,Customer Service Platform,Customer Service Platform Backend,.NET 7,Flask,Aurora PostgreSQL,"AMQP,Kafka","FSx,S3,EBS"
tech-151,Analytics Hub,Analytics Hub,Go 1.21,Fiber,Timestream,AMQP,"Storage Gateway,Glacier,EBS"
tech-152,E-Commerce Controller,E-Commerce Controller Processor,Python 3.9,Remix,SQL Server,"Kafka,GraphQL,EventBridge","CloudFront,Storage Gateway,FSx"
tech-153,E-Commerce Controller,E-Commerce Controller Service,Node.js 18,ASP.NET Core,"Cassandra,DynamoDB","SNS,SQS,Cognito","EBS,FSx"
tech-154,E-Commerce Controller,E-Commerce Controller API,.NET 6,Solid.js,"SQL Server,MongoDB","REST API,Cognito","EBS,CloudFront"
tech-155,Marketing Dashboard,Marketing Dashboard API,PHP 8.2,Solid.js,"MongoDB,DocumentDB,Elasticsearch","Kafka,REST API","EBS,Glacier"
tech-156,Marketing Dashboard,Marketing Dashboard Backend,.NET 6,Vue.js,,"GraphQL,RabbitMQ,Kafka","EBS,Glacier"
tech-157,Marketing Dashboard,Marketing Dashboard Frontend,Python 3.10,Gin,"Aurora MySQL,CouchDB",RabbitMQ,"EBS,Glacier,EFS"
tech-158,Marketing Dashboard,Marketing Dashboard Processor,Python 3.9,Fiber,,Step Functions,Backup
tech-159,Marketing Dashboard,Marketing Dashboard Backend,Go 1.20,Echo,"MySQL,Cassandra,MariaDB","Kafka,REST API,SQS",Glacier
tech-160,Legal Dashboard,Legal Dashboard Backend,Node.js 20,React,Redis,"RabbitMQ,Cognito,MQTT","EFS,EBS,Backup"
tech-161,Legal Dashboard,Legal Dashboard Worker,.NET 7,Echo,"Neo4j,PostgreSQL","Auth0,AMQP",Storage Gateway
tech-162,Legal Dashboard,Legal Dashboard Worker,Python 3.11,Svelte,"Redis,Elasticsearch,SQL Server","RabbitMQ,Cognito,EventBridge","FSx,Storage Gateway"
tech-163,HR Tracker,HR Tracker Worker,.NET 6,Ruby on Rails,"Cassandra,Redshift","MQTT,GraphQL,SNS,RabbitMQ",CloudFront
tech-164,HR Tracker,HR Tracker Frontend,Go 1.21,Remix,,"Kinesis,REST API,Kafka","CloudFront,EBS"
tech-165,Business Development Gateway,Business Development Gateway Frontend,Node.js 20,Solid.js,Redis,"Step Functions,gRPC,AMQP","Glacier,CloudFront"
tech-166,Business Development Gateway,Business Development Gateway Service,Ruby 3.1,Gin,"DynamoDB,Cassandra","Step Functions,RabbitMQ","EFS,Backup"
tech-167,Business Development Gateway,Business Development Gateway Worker,Python 3.11,Django,"Redshift,Aurora PostgreSQL,Redis","Kafka,Cognito,Kinesis",FSx
tech-168,Business Development Gateway,Business Development Gateway Worker,.NET 6,Remix,Aurora PostgreSQL,"Kafka,GraphQL,Cognito,Step Functions",Backup
tech-169,Product Engine,Product Engine,Go 1.20,Fiber,"Redshift,Neptune","RabbitMQ,WebSockets","CloudFront,EBS"
tech-170,Operations Service,Operations Service,Python 3.10,Next.js,,Kafka,"FSx,S3,EFS"
tech-171,Legal Tracker,Legal Tracker Backend,.NET 7,Express.js,,MQTT,S3
tech-172,Legal Tracker,Legal Tracker Service,PHP 8.1,Next.js,"Redis,Aurora PostgreSQL","WebSockets,SNS","Glacier,CloudFront,EBS"
tech-173,Legal Tracker,Legal Tracker Worker,PHP 8.1,Gin,"DocumentDB,Oracle",REST API,"Glacier,CloudFront"
tech-174,Legal Tracker,Legal Tracker Frontend,Java 21,Laravel,"PostgreSQL,Redis","REST API,WebSockets,Kinesis","FSx,EFS"
tech-175,Sales Platform,Sales Platform Processor,.NET 8,Vue.js,Cassandra,"SNS,WebSockets,gRPC","EBS,FSx"
tech-176,Sales Platform,Sales Platform Frontend,Python 3.10,Laravel,,EventBridge,"Glacier,EFS"
tech-177,Sales Platform,Sales Platform Service,PHP 8.2,Echo,"SQL Server,Oracle,Aurora PostgreSQL","REST API,Auth0,gRPC,Step Functions","CloudFront,Storage Gateway"
tech-178,IT Engine,IT Engine API,Go 1.21,Laravel,MongoDB,"Auth0,GraphQL,EventBridge,Kinesis","Storage Gateway,Glacier"
tech-179,IT Engine,IT Engine Frontend,Java 11,React,"Aurora MySQL,SQL Server,DynamoDB","EventBridge,Kinesis,SNS,RabbitMQ","CloudFront,Backup"
tech-180,IT Engine,IT Engine Service,Go 1.20,Svelte,Neptune,"AMQP,RabbitMQ,EventBridge,Cognito","S3,EBS,CloudFront"
tech-181,IT Engine,IT Engine Frontend,PHP 8.2,Spring Boot,"CouchDB,Timestream,Cassandra","EventBridge,Kinesis","Storage Gateway,S3"
tech-182,Business Development Hub,Business Development Hub Frontend,PHP 8.2,Laravel,Redshift,"Kafka,Cognito","Storage Gateway,CloudFront,Glacier"
tech-183,Business Development Hub,Business Development Hub Backend,Node.js 18,Gin,"Redis,MySQL","SNS,Kinesis",EBS
tech-184,Business Development Hub,Business Development Hub Frontend,.NET 6,Gin,,gRPC,"EBS,S3,EFS"
tech-185,Business Development Hub,Business Development Hub Processor,PHP 8.1,ASP.NET Core,"DynamoDB,PostgreSQL","Cognito,AMQP,RabbitMQ","CloudFront,EFS,FSx"
tech-186,Finance Analyzer,Finance Analyzer,Node.js 16,Vue.js,Elasticsearch,"REST API,Step Functions,Cognito","Backup,Glacier,EBS"
tech-187,Engineering Service,Engineering Service API,Python 3.9,Nuxt.js,"SQL Server,MariaDB,MySQL","SQS,Kinesis,EventBridge","FSx,CloudFront"
tech-188,Engineering Service,Engineering Service Worker,Go 1.20,Echo,Redis,"EventBridge,Auth0","Glacier,FSx"
tech-189,Engineering Service,Engineering Service Frontend,Node.js 20,Vue.js,"CouchDB,Aurora MySQL,MySQL","REST API,GraphQL,WebSockets,EventBridge","Backup,Storage Gateway"
tech-190,Procurement Monitor,Procurement Monitor Backend,Node.js 20,Express.js,,"EventBridge,GraphQL,AMQP,WebSockets","Glacier,CloudFront"
tech-191,Procurement Monitor,Procurement Monitor Processor,.NET 7,Angular,"Aurora PostgreSQL,Redshift,Aurora MySQL","SQS,Auth0",Glacier
