id,skill,category,proficiency,team,members,notes
106,PostgreSQL,Data,5,Security Team,8,
107,MySQL,Security,3,Security Team,6,Used by Security Team
108,Istio,API,2,Security Team,4,
109,gRPC,Backend,3,Security Team,6,
110,X-Ray,Frontend,2,Security Team,11,
111,CloudFormation,Monitoring,5,Security Team,12,
112,TestNG,API,4,Security Team,4,Used by Security Team
113,TypeScript,Testing,1,Security Team,7,
114,FastAPI,Frontend,1,Security Team,9,
115,Splunk,Monitoring,3,Security Team,8,
116,Flask,Cloud,3,Security Team,8,
117,Elixir,Monitoring,3,Security Team,2,
118,Laravel,Backend,4,Security Team,6,Used by Security Team
119,DynamoDB,DevOps,3,Security Team,10,
120,F#,API,4,Security Team,3,
121,CircleCI,DevOps,2,Platform Team,11,Used by Platform Team
122,Spring Boot,Monitoring,2,Platform Team,3,Used by Platform Team
123,Docker,Data,2,Platform Team,4,
124,Cassandra,Database,2,Platform Team,5,Used by Platform Team
125,Go,Testing,5,Platform Team,3,
126,Prometheus,Cloud,3,Platform Team,10,
127,Istio,Monitoring,4,Platform Team,6,
128,Laravel,Database,4,Platform Team,8,
129,SNS,Testing,1,Platform Team,7,
130,Neo4j,Database,4,Platform Team,8,
131,WebSockets,API,3,Platform Team,10,Used by Platform Team
132,DynamoDB,Monitoring,4,Platform Team,11,Used by Platform Team
133,Fargate,API,1,Platform Team,6,
134,gRPC,Testing,5,Platform Team,3,Used by Platform Team
135,Google Cloud Functions,Cloud,5,Platform Team,4,
136,Postman,Security,4,Platform Team,8,
137,SQL Server,Data,1,Platform Team,4,
138,GitHub Actions,Security,1,Platform Team,10,
139,Redis,Frontend,5,Platform Team,4,
140,Rust,Monitoring,5,Platform Team,4,
141,Kotlin,Testing,5,Mobile Team,5,
142,React,API,5,Mobile Team,12,
143,PHP,Monitoring,2,Mobile Team,6,
144,CloudFormation,Security,2,Mobile Team,5,
145,Terraform,API,4,Mobile Team,9,
146,MySQL,Frontend,3,Mobile Team,9,
147,Linkerd,Frontend,3,Mobile Team,9,Used by Mobile Team
148,Angular,Testing,1,Mobile Team,9,Used by Mobile Team
149,JUnit,Backend,2,Mobile Team,9,
150,Java,Frontend,3,Mobile Team,3,
151,Kubernetes,DevOps,2,Mobile Team,12,
152,PyTest,Data,1,Mobile Team,10,
153,Ruby,Cloud,2,Mobile Team,9,Used by Mobile Team
154,EC2,Data,1,Mobile Team,12,
155,Node.js,Security,3,Mobile Team,12,Used by Mobile Team
156,WebSockets,Backend,4,Mobile Team,5,
157,S3,Data,3,Mobile Team,7,
158,Cucumber,Frontend,1,Mobile Team,3,
159,Spring Boot,Database,2,Mobile Team,8,
160,ECS,Security,3,Mobile Team,10,
161,Gin,Data,2,Analytics Team,9,
162,CircleCI,Database,1,Analytics Team,10,
163,WebSockets,Monitoring,5,Analytics Team,10,
164,Laravel,Security,3,Analytics Team,9,Used by Analytics Team
165,Cucumber,Cloud,1,Analytics Team,10,Used by Analytics Team
166,Istio,Frontend,3,Analytics Team,10,Used by Analytics Team
167,Oracle,Cloud,1,Analytics Team,6,Used by Analytics Team
168,Express.js,Frontend,5,Analytics Team,3,
169,Kustomize,Database,3,Analytics Team,5,
170,Chef,DevOps,2,Analytics Team,4,
171,Azure Functions,Testing,4,Analytics Team,11,
172,Flux,Security,4,Analytics Team,12,
173,Vault,Database,1,Analytics Team,3,
174,PostgreSQL,DevOps,3,Analytics Team,5,
175,Splunk,Frontend,2,Analytics Team,8,
176,Postman,Frontend,4,Analytics Team,3,
177,MySQL,Testing,5,Analytics Team,5,
178,Ruby on Rails,API,3,Analytics Team,3,
179,Google Cloud Functions,DevOps,3,Analytics Team,11,
180,Step Functions,Data,4,Analytics Team,5,Used by Analytics Team
181,Cassandra,API,2,Infrastructure Team,5,
182,EKS,Frontend,4,Infrastructure Team,7,
183,Puppet,Monitoring,2,Infrastructure Team,6,Used by Infrastructure Team
184,CircleCI,Database,1,Infrastructure Team,6,
185,Ruby on Rails,Data,1,Infrastructure Team,6,
186,ActiveMQ,Database,5,Infrastructure Team,10,
187,Jest,Cloud,4,Infrastructure Team,7,Used by Infrastructure Team
188,Mocha,Monitoring,5,Infrastructure Team,10,Used by Infrastructure Team
189,Laravel,DevOps,4,Infrastructure Team,10,Used by Infrastructure Team
190,Selenium,Database,3,Infrastructure Team,8,Used by Infrastructure Team
191,EventBridge,Frontend,5,Infrastructure Team,12,
192,Elixir,Data,3,Infrastructure Team,2,Used by Infrastructure Team
193,Datadog,Monitoring,1,Infrastructure Team,3,
194,React,Security,5,Infrastructure Team,11,Used by Infrastructure Team
195,Rust,DevOps,4,Infrastructure Team,9,
196,Cognito,DevOps,2,Infrastructure Team,5,
197,Spring Boot,Security,5,Infrastructure Team,12,
198,Redis,Testing,1,Infrastructure Team,11,
199,Python,Testing,2,Infrastructure Team,5,
200,Go,API,4,Infrastructure Team,12,
201,Redis,Data,2,Backend Team,6,Used by Backend Team
202,Chef,Backend,1,Backend Team,5,Used by Backend Team
203,Helm,Security,5,Backend Team,10,
204,Go,Database,4,Backend Team,12,
205,JUnit,Testing,5,Backend Team,8,Used by Backend Team
206,Grafana,Security,1,Backend Team,9,
207,Rust,Security,5,Backend Team,6,
208,GitLab CI,DevOps,2,Backend Team,12,
209,Flask,Data,4,Backend Team,3,
210,Datadog,Backend,4,Backend Team,2,Used by Backend Team
211,FastAPI,DevOps,4,Backend Team,4,Used by Backend Team
212,EKS,Frontend,4,Backend Team,10,Used by Backend Team
213,Clojure,Monitoring,1,Backend Team,5,
214,Flux,Cloud,1,Backend Team,12,
215,EventBridge,Data,4,Backend Team,9,
216,Django,DevOps,2,Backend Team,7,Used by Backend Team
217,Spring Boot,Backend,1,Backend Team,4,
218,Cucumber,Security,2,Backend Team,3,
219,Route53,DevOps,3,Backend Team,5,
220,Kotlin,Backend,2,Backend Team,11,Used by Backend Team
221,JavaScript,Monitoring,4,Frontend Team,6,
222,EKS,Backend,1,Frontend Team,12,
223,Linkerd,Data,2,Frontend Team,8,
224,Laravel,Database,5,Frontend Team,6,
225,MongoDB,Testing,4,Frontend Team,8,Used by Frontend Team
226,gRPC,Database,2,Frontend Team,4,
227,Terraform,Cloud,3,Frontend Team,4,Used by Frontend Team
228,S3,Security,2,Frontend Team,10,
229,DynamoDB,Monitoring,4,Frontend Team,12,
230,Kustomize,Security,3,Frontend Team,6,
231,Flask,Monitoring,4,Frontend Team,2,
232,Jenkins,Frontend,3,Frontend Team,4,
233,Ansible,Frontend,4,Frontend Team,9,Used by Frontend Team
234,ActiveMQ,Frontend,1,Frontend Team,4,Used by Frontend Team
235,Istio,API,3,Frontend Team,2,Used by Frontend Team
236,Grafana,Database,4,Frontend Team,9,
237,Elasticsearch,API,4,Frontend Team,11,Used by Frontend Team
238,Node.js,API,4,Frontend Team,6,
239,CloudWatch,Cloud,1,Frontend Team,10,
240,EC2,API,4,Frontend Team,11,
241,Flux,Security,1,Cloud Team,11,
242,PostgreSQL,Testing,2,Cloud Team,8,
243,Linkerd,Monitoring,5,Cloud Team,2,
244,ActiveMQ,Testing,1,Cloud Team,2,
245,PyTest,Testing,3,Cloud Team,6,Used by Cloud Team
246,Splunk,Backend,5,Cloud Team,11,
247,Express.js,Backend,1,Cloud Team,10,
248,Datadog,Cloud,1,Cloud Team,3,
249,React,Monitoring,4,Cloud Team,8,Used by Cloud Team
250,CloudWatch,Backend,5,Cloud Team,9,
251,Python,Frontend,3,Cloud Team,6,
252,Selenium,Testing,5,Cloud Team,8,Used by Cloud Team
253,EC2,Data,1,Cloud Team,12,Used by Cloud Team
254,Route53,API,1,Cloud Team,6,Used by Cloud Team
255,Lambda,Database,2,Cloud Team,12,
256,Redis,Database,5,Cloud Team,9,
257,CloudFormation,Database,4,Cloud Team,9,
258,MySQL,Backend,4,Cloud Team,7,Used by Cloud Team
259,IAM,Data,3,Cloud Team,7,Used by Cloud Team
260,Chef,Testing,1,Cloud Team,5,
261,X-Ray,Frontend,5,Database Team,12,
262,Playwright,Cloud,5,Database Team,5,Used by Database Team
263,Azure Functions,Monitoring,5,Database Team,5,Used by Database Team
264,Linkerd,Database,5,Database Team,7,Used by Database Team
265,RSpec,Monitoring,2,Database Team,8,
266,C#,Frontend,2,Database Team,12,
267,CloudFormation,Security,1,Database Team,5,Used by Database Team
268,Cassandra,Backend,2,Database Team,4,Used by Database Team
269,PyTest,Testing,1,Database Team,10,
270,Vault,Backend,3,Database Team,7,
271,Istio,Monitoring,4,Database Team,10,
272,Kafka,Backend,4,Database Team,8,
273,WebSockets,Frontend,4,Database Team,10,
274,Selenium,Security,1,Database Team,2,
275,Django,Frontend,4,Database Team,6,
276,Angular,Security,2,Database Team,12,
277,Elixir,Database,3,Database Team,2,
278,EKS,Backend,1,Database Team,3,Used by Database Team
279,FastAPI,Security,3,Database Team,6,
280,Terraform,Frontend,3,Database Team,10,
281,CircleCI,Data,2,Integration Team,7,
282,Grafana,DevOps,4,Integration Team,11,Used by Integration Team
283,Terraform,Monitoring,4,Integration Team,11,Used by Integration Team
284,S3,Testing,2,Integration Team,9,
285,MySQL,API,1,Integration Team,4,Used by Integration Team
286,Kotlin,Frontend,3,Integration Team,10,
287,Ansible,Security,1,Integration Team,5,
288,WebSockets,Security,4,Integration Team,4,Used by Integration Team
289,CloudFront,DevOps,1,Integration Team,8,Used by Integration Team
290,Splunk,Security,4,Integration Team,8,
291,Playwright,DevOps,4,Integration Team,10,
292,IAM,Monitoring,5,Integration Team,7,
293,Cassandra,Database,2,Integration Team,7,Used by Integration Team
294,EKS,Testing,4,Integration Team,11,
295,Istio,Cloud,5,Integration Team,6,
296,Vue.js,Frontend,1,Integration Team,9,
297,gRPC,DevOps,2,Integration Team,5,
298,Google Cloud Functions,Backend,5,Integration Team,12,Used by Integration Team
299,Vault,Security,4,Integration Team,11,
300,DynamoDB,Database,1,Integration Team,4,Used by Integration Team
301,New Relic,Testing,5,Architecture Team,4,Used by Architecture Team
302,Scala,Database,1,Architecture Team,10,
303,C#,Monitoring,3,Architecture Team,2,
304,PHP,Frontend,3,Architecture Team,6,Used by Architecture Team
305,Cognito,Monitoring,1,Architecture Team,7,Used by Architecture Team
306,SNS,Monitoring,4,Architecture Team,11,
307,Clojure,Security,2,Architecture Team,9,
308,Laravel,Frontend,5,Architecture Team,7,
309,Selenium,Cloud,1,Architecture Team,12,
310,Spring Boot,Security,2,Architecture Team,11,
311,Echo,API,4,Architecture Team,10,
312,Redis,Data,4,Architecture Team,8,
313,MongoDB,API,5,Architecture Team,9,
314,GitHub Actions,Monitoring,1,Architecture Team,11,
315,Grafana,Database,2,Architecture Team,6,
316,Flux,Monitoring,2,Architecture Team,9,
317,ASP.NET Core,API,1,Architecture Team,5,Used by Architecture Team
318,Cassandra,Cloud,2,Architecture Team,12,
319,Java,Frontend,3,Architecture Team,2,
320,JUnit,Security,5,Architecture Team,11,
321,Flask,API,2,Performance Team,12,
322,SQL Server,Data,3,Performance Team,11,
323,CouchDB,Backend,2,Performance Team,7,
324,Kafka,DevOps,2,Performance Team,10,
325,PyTest,Cloud,2,Performance Team,6,
326,EC2,Frontend,5,Performance Team,8,
327,CircleCI,Backend,5,Performance Team,5,
328,Haskell,API,2,Performance Team,6,Used by Performance Team
329,Ruby,Data,3,Performance Team,6,
330,Selenium,DevOps,1,Performance Team,4,
331,Helm,Frontend,3,Performance Team,5,
332,Go,Security,5,Performance Team,3,
333,Vault,Backend,5,Performance Team,7,
334,JUnit,DevOps,2,Performance Team,11,Used by Performance Team
335,Mocha,Frontend,3,Performance Team,12,Used by Performance Team
336,Chef,DevOps,1,Performance Team,5,Used by Performance Team
337,Clojure,Frontend,1,Performance Team,3,Used by Performance Team
338,Fargate,Security,5,Performance Team,4,Used by Performance Team
339,CloudFront,Frontend,1,Performance Team,3,
340,Kustomize,Frontend,1,Performance Team,5,Used by Performance Team
341,F#,DevOps,2,Compliance Team,4,
342,Datadog,Backend,3,Compliance Team,5,
343,C#,DevOps,4,Compliance Team,3,Used by Compliance Team
344,Laravel,Cloud,1,Compliance Team,4,
345,New Relic,Backend,5,Compliance Team,6,
346,AWS Lambda,Backend,3,Compliance Team,3,
347,CircleCI,Data,4,Compliance Team,12,
348,Echo,Security,1,Compliance Team,7,Used by Compliance Team
349,GitHub Actions,Database,5,Compliance Team,7,
350,Kubernetes,Cloud,5,Compliance Team,4,
351,Ruby on Rails,Data,3,Compliance Team,11,Used by Compliance Team
352,Ruby,Monitoring,4,Compliance Team,9,Used by Compliance Team
353,WebSockets,Database,4,Compliance Team,5,
354,MariaDB,Frontend,4,Compliance Team,12,Used by Compliance Team
355,Splunk,Backend,2,Compliance Team,7,
356,SQS,Security,2,Compliance Team,4,
357,MySQL,Monitoring,2,Compliance Team,7,
358,CloudFront,Cloud,3,Compliance Team,2,
359,EventBridge,Monitoring,5,Compliance Team,8,
360,Cognito,Data,2,Compliance Team,3,Used by Compliance Team
361,WebSockets,Monitoring,2,Operations Team,7,
362,REST API,Backend,1,Operations Team,2,
363,Ansible,Cloud,4,Operations Team,8,
364,Travis CI,Security,2,Operations Team,12,
365,EKS,Data,5,Operations Team,12,
366,ASP.NET Core,Security,4,Operations Team,3,
367,Python,Database,2,Operations Team,10,
368,CloudWatch,Security,4,Operations Team,4,Used by Operations Team
369,Terraform,Monitoring,5,Operations Team,7,
370,Cypress,Frontend,4,Operations Team,5,
371,Istio,DevOps,1,Operations Team,7,
372,ActiveMQ,Data,2,Operations Team,2,
373,Echo,Database,4,Operations Team,6,Used by Operations Team
374,Azure Functions,Cloud,3,Operations Team,8,
375,Cucumber,Data,2,Operations Team,10,
376,Chef,Data,4,Operations Team,10,
377,MongoDB,Security,1,Operations Team,4,Used by Operations Team
378,Docker,Testing,4,Operations Team,2,
379,Prometheus,Security,1,Operations Team,10,
380,Laravel,Data,5,Operations Team,10,
381,Clojure,Data,1,Support Team,3,Used by Support Team
382,FastAPI,DevOps,3,Support Team,8,
383,SonarQube,DevOps,1,Support Team,8,
384,Google Cloud Functions,Database,1,Support Team,8,
385,CloudWatch,DevOps,5,Support Team,2,
386,Elasticsearch,Cloud,3,Support Team,11,
387,Kustomize,DevOps,4,Support Team,11,
388,Flux,DevOps,4,Support Team,10,
389,Python,API,3,Support Team,6,
390,Puppet,Testing,3,Support Team,11,
391,CloudFront,API,1,Support Team,12,
392,Ruby,Data,1,Support Team,3,Used by Support Team
393,Kotlin,API,1,Support Team,7,
394,Kubernetes,Monitoring,4,Support Team,6,
395,Lambda,Monitoring,4,Support Team,2,Used by Support Team
396,C#,Frontend,5,Support Team,10,
397,Vue.js,Testing,1,Support Team,8,
398,Go,Monitoring,4,Support Team,4,Used by Support Team
399,Angular,Backend,3,Support Team,3,
400,EventBridge,DevOps,1,Support Team,5,
401,Ansible,DevOps,2,Product Team,11,
402,Spring Boot,Monitoring,2,Product Team,6,
403,AWS Lambda,Testing,3,Product Team,3,
404,WebSockets,Security,5,Product Team,5,
405,Playwright,Testing,4,Product Team,10,
406,Django,Data,1,Product Team,6,
407,Selenium,Testing,2,Product Team,9,
408,Lambda,DevOps,4,Product Team,3,Used by Product Team
409,Gin,DevOps,3,Product Team,6,
410,Haskell,Testing,2,Product Team,9,
411,X-Ray,Database,1,Product Team,4,
412,SNS,Backend,2,Product Team,3,
413,Kubernetes,Backend,1,Product Team,11,
414,Elixir,Backend,1,Product Team,2,
415,MongoDB,Cloud,5,Product Team,2,
416,Echo,Monitoring,1,Product Team,8,Used by Product Team
417,TestNG,Cloud,4,Product Team,9,
418,F#,Backend,3,Product Team,7,Used by Product Team
419,MariaDB,Backend,2,Product Team,4,Used by Product Team
420,CloudFormation,Database,3,Product Team,8,Used by Product Team
421,GitLab CI,Frontend,2,Engineering Team,6,
422,Vue.js,DevOps,2,Engineering Team,12,
423,GraphQL,Data,1,Engineering Team,11,
424,AWS Lambda,Cloud,3,Engineering Team,6,
425,Scala,Cloud,2,Engineering Team,5,Used by Engineering Team
426,IAM,Data,4,Engineering Team,12,
427,Kafka,Security,5,Engineering Team,12,
428,gRPC,Frontend,2,Engineering Team,9,
429,Kubernetes,Testing,2,Engineering Team,2,Used by Engineering Team
430,Travis CI,Cloud,1,Engineering Team,3,
431,Mocha,API,2,Engineering Team,4,Used by Engineering Team
432,MongoDB,Security,1,Engineering Team,6,
433,Google Cloud Functions,Cloud,3,Engineering Team,9,Used by Engineering Team
434,Elixir,Security,1,Engineering Team,3,
435,S3,Data,1,Engineering Team,3,
436,Route53,Testing,3,Engineering Team,9,Used by Engineering Team
437,ELK Stack,Cloud,1,Engineering Team,5,
438,Angular,Frontend,3,Engineering Team,3,
439,Postman,Backend,4,Engineering Team,5,
440,Django,Monitoring,5,Engineering Team,4,
441,ASP.NET Core,Data,5,Research Team,2,
442,Gin,Frontend,2,Research Team,6,Used by Research Team
443,CloudFront,Monitoring,5,Research Team,6,
444,Step Functions,Data,3,Research Team,4,
445,GraphQL,Monitoring,1,Research Team,7,Used by Research Team
446,Vault,DevOps,2,Research Team,4,
447,Puppet,Backend,4,Research Team,2,
448,Node.js,DevOps,3,Research Team,10,
449,Consul,Backend,2,Research Team,11,
450,SNS,Frontend,5,Research Team,6,
451,Flask,Database,2,Research Team,6,
452,Kafka,API,2,Research Team,3,
453,Elixir,Security,3,Research Team,4,
454,Cypress,Backend,4,Research Team,4,
455,EC2,Monitoring,4,Research Team,8,
456,CouchDB,API,4,Research Team,10,
457,Go,Database,5,Research Team,2,Used by Research Team
458,MongoDB,Testing,3,Research Team,2,
459,Terraform,Database,5,Research Team,6,
460,Oracle,Monitoring,5,Research Team,6,Used by Research Team
461,Angular,Data,5,Innovation Team,9,Used by Innovation Team
462,Clojure,DevOps,1,Innovation Team,2,
463,Redis,API,4,Innovation Team,10,
464,SNS,Cloud,1,Innovation Team,11,Used by Innovation Team
465,EC2,Database,5,Innovation Team,6,
466,EKS,Security,1,Innovation Team,8,
467,CloudWatch,DevOps,5,Innovation Team,8,
468,Ansible,DevOps,5,Innovation Team,9,Used by Innovation Team
469,Express.js,Security,5,Innovation Team,9,
470,JUnit,Testing,3,Innovation Team,2,Used by Innovation Team
471,Kubernetes,Data,3,Innovation Team,11,Used by Innovation Team
472,Travis CI,Testing,1,Innovation Team,11,
473,New Relic,Data,5,Innovation Team,8,Used by Innovation Team
474,Linkerd,API,4,Innovation Team,3,
475,Google Cloud Functions,Monitoring,5,Innovation Team,11,
476,DynamoDB,Security,3,Innovation Team,9,
477,Consul,Data,4,Innovation Team,2,
478,Vue.js,API,1,Innovation Team,9,
479,Helm,Backend,5,Innovation Team,4,Used by Innovation Team
480,GitLab CI,Testing,5,Innovation Team,6,
481,SNS,Backend,5,Automation Team,7,Used by Automation Team
482,AWS Lambda,API,5,Automation Team,12,Used by Automation Team
483,Elasticsearch,Security,5,Automation Team,3,
484,Google Cloud Functions,Testing,1,Automation Team,11,
485,Django,Database,3,Automation Team,8,
486,Grafana,Cloud,2,Automation Team,10,Used by Automation Team
487,PostgreSQL,API,2,Automation Team,6,
488,S3,Backend,3,Automation Team,9,Used by Automation Team
489,Jenkins,Cloud,4,Automation Team,3,
490,ASP.NET Core,Cloud,4,Automation Team,9,Used by Automation Team
491,Lambda,Cloud,5,Automation Team,2,
492,Cypress,DevOps,4,Automation Team,7,
493,Mocha,Cloud,3,Automation Team,9,Used by Automation Team
494,ArgoCD,Cloud,4,Automation Team,5,
495,Flask,Monitoring,3,Automation Team,6,
496,ECS,Backend,5,Automation Team,7,
497,Flux,Monitoring,4,Automation Team,2,
498,MongoDB,API,4,Automation Team,12,
499,Kafka,API,5,Automation Team,2,Used by Automation Team
500,Istio,Cloud,1,Automation Team,4,Used by Automation Team
501,IAM,Database,2,Reliability Team,5,Used by Reliability Team
502,ELK Stack,API,4,Reliability Team,3,
503,CloudWatch,Frontend,2,Reliability Team,5,
504,Route53,Testing,2,Reliability Team,9,Used by Reliability Team
505,Gin,DevOps,5,Reliability Team,7,Used by Reliability Team
506,Haskell,Testing,3,Reliability Team,12,
507,JavaScript,DevOps,3,Reliability Team,7,
508,Helm,Database,5,Reliability Team,8,Used by Reliability Team
509,X-Ray,DevOps,2,Reliability Team,5,
510,API Gateway,API,2,Reliability Team,11,
511,CloudFront,DevOps,1,Reliability Team,11,
512,ECS,DevOps,2,Reliability Team,9,
513,ArgoCD,Cloud,3,Reliability Team,7,
514,Go,Testing,3,Reliability Team,7,
515,PostgreSQL,Backend,2,Reliability Team,2,
516,EC2,Data,4,Reliability Team,2,
517,Jest,Database,1,Reliability Team,10,
518,CircleCI,Security,5,Reliability Team,7,
519,Java,Database,2,Reliability Team,11,
520,SQS,Monitoring,1,Reliability Team,4,Used by Reliability Team
521,GraphQL,API,3,Observability Team,12,
522,Echo,Database,4,Observability Team,6,
523,Cypress,Cloud,2,Observability Team,3,
524,Gin,Monitoring,5,Observability Team,7,
525,Java,Security,5,Observability Team,7,
526,Jest,Frontend,3,Observability Team,2,
527,Swift,Security,1,Observability Team,8,
528,Kotlin,DevOps,1,Observability Team,4,
529,CloudFront,Data,5,Observability Team,7,
530,WebSockets,API,2,Observability Team,5,Used by Observability Team
531,Lambda,Frontend,1,Observability Team,5,
532,DynamoDB,Security,4,Observability Team,7,
533,Linkerd,Frontend,3,Observability Team,7,
534,Istio,Testing,4,Observability Team,7,Used by Observability Team
535,REST API,Frontend,5,Observability Team,12,
536,Puppet,Frontend,5,Observability Team,7,
537,Mocha,Frontend,5,Observability Team,10,Used by Observability Team
538,EC2,Monitoring,4,Observability Team,2,Used by Observability Team
539,CloudFormation,Frontend,5,Observability Team,4,
540,New Relic,Data,2,Observability Team,4,
541,ArgoCD,Monitoring,1,Network Team,2,
542,Terraform,Monitoring,4,Network Team,10,
543,Python,Data,1,Network Team,5,
544,JUnit,Data,5,Network Team,11,
545,ActiveMQ,Frontend,1,Network Team,5,
546,gRPC,Database,1,Network Team,11,
547,PyTest,Cloud,3,Network Team,12,Used by Network Team
548,ELK Stack,Frontend,4,Network Team,3,
549,CircleCI,Cloud,1,Network Team,12,
550,Oracle,Cloud,1,Network Team,5,
551,Spring Boot,Database,5,Network Team,5,
552,Django,Monitoring,5,Network Team,4,Used by Network Team
553,Vault,Cloud,4,Network Team,8,
554,React,API,2,Network Team,10,
555,Splunk,Security,5,Network Team,9,
556,Scala,DevOps,1,Network Team,11,
557,Gin,Testing,1,Network Team,10,
558,Travis CI,Monitoring,4,Network Team,3,
559,Consul,DevOps,3,Network Team,10,
560,SonarQube,Security,4,Network Team,6,Used by Network Team
561,Java,Frontend,5,Storage Team,8,Used by Storage Team
562,RabbitMQ,Frontend,3,Storage Team,8,
563,Ruby on Rails,API,1,Storage Team,2,
564,Cognito,Testing,2,Storage Team,3,
565,TypeScript,Frontend,4,Storage Team,7,
566,Spring Boot,Backend,4,Storage Team,11,
567,Postman,Frontend,3,Storage Team,12,
