id,applicationName,department,criticality,purpose
119,Engineering Monitor,Engineering,Low,Project tracking and collaboration
120,Customer Service Portal,Customer Service,Low,Support ticket management system
121,Product Processor 121,Product,High,Asset tracking and management
122,Risk Management Service,Risk Management,Low,Financial reporting and analytics
123,IT Dashboard,IT,Low,Business intelligence and analytics
124,Customer Service Analyzer,Customer Service,High,Business intelligence and analytics
125,Marketing Dashboard,Marketing,Low,Support ticket management system
126,Product Hub 126,Product,Low,Support ticket management system
127,Sales Tracker,Sales,Low,Internal system for tracking and management
128,Business Development Monitor 128,Business Development,Low,Vendor and supplier management
129,Analytics Platform 129,Analytics,Medium,Asset tracking and management
130,IT Engine 130,IT,High,Financial reporting and analytics
131,Operations Processor,Operations,High,Vendor and supplier management
132,Marketing Dashboard,Marketing,High,Business intelligence and analytics
133,HR Engine,HR,High,Asset tracking and management
134,Customer Service Management System,Customer Service,Medium,Employee management and administration
135,R&D Gateway,R&D,High,Customer-facing application for account management
136,Manufacturing Tool,Manufacturing,High,Internal system for tracking and management
137,Engineering Dashboard 137,Engineering,Low,Support ticket management system
138,IT Controller 138,IT,Medium,Product information management
139,Operations Management System 139,Operations,Medium,Financial reporting and analytics
140,Legal Service,Legal,Low,Training and certification tracking
141,R&D Gateway,R&D,High,Asset tracking and management
142,Legal Engine,Legal,Low,Training and certification tracking
143,Quality Assurance Platform,Quality Assurance,High,Customer relationship management
144,Supply Chain Service,Supply Chain,Low,Product information management
145,Procurement Application 145,Procurement,Medium,Support ticket management system
146,Product Processor,Product,Medium,Internal system for tracking and management
147,Finance Analyzer,Finance,Medium,Regulatory compliance monitoring
148,E-Commerce Management System,E-Commerce,Medium,Regulatory compliance monitoring
149,Finance Management System,Finance,Low,Product information management
150,Marketing Gateway,Marketing,Low,Training and certification tracking
