id,applicationName,serverName,serverType,cpu,memory,storage,region,environment,notes,osType,osVersion,dbEngineVersion,dbClusterId,dbClusterType,orchestrationPlatform
infra-40,Marketing Application,marketing-application-processor-srv-40,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,Aurora MySQL 8.0,db-cluster-452,Active/Active,Kubernetes
infra-41,Customer Service Gateway,customer-service-gateway-worker-srv-41,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-east-1,Production,Primary instance,Linux,Ubuntu 20.04,PostgreSQL 14,db-cluster-175,Single Instance,None
infra-42,Customer Service Gateway,customer-service-gateway-worker-srv-42,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,Aurora MySQL 8.0,db-cluster-269,Active/Backup,None
infra-43,Customer Service Gateway,customer-service-gateway-api-srv-43,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,,Windows,Windows Server 2022,Aurora MySQL 8.0,db-cluster-501,Single Instance,Kubernetes
infra-44,Customer Service Gateway,customer-service-gateway-api-srv-44,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,PostgreSQL 15,db-cluster-355,Single Instance,ECS
infra-45,Sales Gateway,sales-gateway-processor-srv-45,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,Redis 7.0,db-cluster-309,Single Instance,None
infra-46,Sales Gateway,sales-gateway-processor-srv-46,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,Redis 7.0,db-cluster-897,Active/Backup,ECS
infra-47,Sales Gateway,sales-gateway-frontend-srv-47,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Production,Primary instance,Windows,Amazon Linux 2,Redis 7.0,db-cluster-409,Single Instance,ECS
infra-48,Sales Gateway,sales-gateway-frontend-srv-48,c5.large,2 vCPU,4 GB,80 GB SSD,us-west-2,Staging,,Windows,Windows Server 2019,MySQL 8.0,db-cluster-931,Active/Backup,None
infra-49,Sales Gateway,sales-gateway-frontend-srv-49,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2023,DynamoDB,db-cluster-571,Active/Backup,None
infra-50,Sales Gateway,sales-gateway-frontend-srv-50,r5.large,2 vCPU,16 GB,100 GB SSD,us-west-2,Staging,,Windows,Ubuntu 20.04,MySQL 8.0,db-cluster-123,Active/Backup,None
infra-51,Finance Dashboard,finance-dashboard-api-srv-51,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,PostgreSQL 14,db-cluster-638,Active/Active,EKS
infra-52,Finance Dashboard,finance-dashboard-api-srv-52,t3.large,2 vCPU,8 GB,80 GB SSD,us-east-1,Staging,,Linux,Ubuntu 22.04,Aurora MySQL 8.0,db-cluster-593,Active/Backup,ECS
infra-53,Finance Dashboard,finance-dashboard-processor-srv-53,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-east-1,Production,Primary instance,Linux,Ubuntu 20.04,PostgreSQL 13,db-cluster-661,Single Instance,EKS
infra-54,Finance Dashboard,finance-dashboard-processor-srv-54,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2,Aurora PostgreSQL 14,db-cluster-763,Active/Backup,ECS
infra-55,Finance Dashboard,finance-dashboard-service-srv-55,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2023,PostgreSQL 13,db-cluster-305,Active/Backup,EKS
infra-56,Finance Dashboard,finance-dashboard-service-srv-56,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,MongoDB 6.0,db-cluster-789,Multi-AZ,EKS
infra-57,Finance Dashboard,finance-dashboard-frontend-srv-57,r5.large,2 vCPU,16 GB,100 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,MySQL 8.0,db-cluster-719,Active/Active,EKS
infra-58,Finance Dashboard,finance-dashboard-frontend-srv-58,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Staging,,Windows,Windows Server 2022,MongoDB 6.0,db-cluster-555,Active/Active,Kubernetes
infra-59,Engineering Engine,engineering-engine-processor-srv-59,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2023,MongoDB 6.0,db-cluster-223,Multi-AZ,None
infra-60,Engineering Engine,engineering-engine-processor-srv-60,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2023,Redis 7.0,db-cluster-710,Single Instance,ECS
infra-61,Engineering Engine,engineering-engine-backend-srv-61,m5.large,2 vCPU,8 GB,100 GB SSD,us-west-2,Production,,Windows,Windows Server 2022,PostgreSQL 15,db-cluster-713,Active/Active,Kubernetes
infra-62,Engineering Engine,engineering-engine-backend-srv-62,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,PostgreSQL 14,db-cluster-624,Active/Active,EKS
infra-63,E-Commerce Management System,e-commerce-management-system-srv-63,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Production,,Windows,Windows Server 2019,Aurora MySQL 8.0,db-cluster-548,Active/Active,None
infra-64,E-Commerce Management System,e-commerce-management-system-srv-64,m5.large,2 vCPU,8 GB,100 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,DynamoDB,db-cluster-139,Active/Active,EKS
infra-65,IT Application,it-application-backend-srv-65,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-east-1,Production,,Windows,Windows Server 2019,PostgreSQL 14,db-cluster-850,Single Instance,EKS
infra-66,IT Application,it-application-backend-srv-66,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-west-2,Staging,,Windows,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-560,Active/Backup,EKS
infra-67,IT Application,it-application-processor-srv-67,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2023,MySQL 8.0,db-cluster-301,Multi-AZ,ECS
infra-68,IT Application,it-application-processor-srv-68,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,MySQL 8.0,db-cluster-298,Active/Active,Kubernetes
infra-69,IT Controller,it-controller-frontend-srv-69,t3.small,2 vCPU,2 GB,30 GB SSD,us-east-1,Production,,Linux,Ubuntu 20.04,MySQL 8.0,db-cluster-839,Active/Active,Kubernetes
infra-70,IT Controller,it-controller-frontend-srv-70,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Windows,Windows Server 2019,PostgreSQL 15,db-cluster-829,Multi-AZ,ECS
infra-71,IT Controller,it-controller-service-srv-71,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Production,,Windows,Windows Server 2022,MySQL 8.0,db-cluster-227,Active/Backup,EKS
infra-72,IT Controller,it-controller-service-srv-72,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,PostgreSQL 14,db-cluster-877,Single Instance,EKS
infra-73,IT Controller,it-controller-backend-srv-73,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,DynamoDB,db-cluster-753,Active/Backup,Kubernetes
infra-74,IT Controller,it-controller-backend-srv-74,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2023,MySQL 8.0,db-cluster-166,Active/Active,Kubernetes
infra-75,Risk Management Controller,risk-management-controller-worker-srv-75,c5.4xlarge,16 vCPU,32 GB,640 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2,PostgreSQL 15,db-cluster-487,Active/Active,None
infra-76,Risk Management Controller,risk-management-controller-worker-srv-76,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,PostgreSQL 15,db-cluster-879,Multi-AZ,ECS
infra-77,Risk Management Controller,risk-management-controller-api-srv-77,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-east-1,Production,,Windows,Amazon Linux 2,MongoDB 6.0,db-cluster-893,Multi-AZ,ECS
infra-78,Risk Management Controller,risk-management-controller-api-srv-78,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Staging,,Windows,Amazon Linux 2,PostgreSQL 13,db-cluster-906,Multi-AZ,ECS
infra-79,Risk Management Controller,risk-management-controller-backend-srv-79,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,,Windows,Amazon Linux 2023,MySQL 8.0,db-cluster-868,Single Instance,ECS
infra-80,Risk Management Controller,risk-management-controller-backend-srv-80,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,Aurora PostgreSQL 14,db-cluster-114,Active/Backup,ECS
infra-81,Risk Management Controller,risk-management-controller-processor-srv-81,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Production,Primary instance,Linux,Amazon Linux 2023,MySQL 8.0,db-cluster-123,Active/Backup,ECS
infra-82,Risk Management Controller,risk-management-controller-processor-srv-82,r5.large,2 vCPU,16 GB,100 GB SSD,us-east-1,Staging,,Windows,Ubuntu 20.04,DynamoDB,db-cluster-835,Single Instance,None
infra-83,Risk Management Controller,risk-management-controller-backend-srv-83,t3.large,2 vCPU,8 GB,80 GB SSD,us-east-1,Production,,Windows,Amazon Linux 2023,Aurora MySQL 8.0,db-cluster-328,Single Instance,Kubernetes
infra-84,Risk Management Controller,risk-management-controller-backend-srv-84,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,Redis 7.0,db-cluster-754,Single Instance,ECS
infra-85,Sales Engine 15,sales-engine-15-processor-srv-85,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Production,Primary instance,Linux,Amazon Linux 2023,PostgreSQL 15,db-cluster-139,Single Instance,None
infra-86,Sales Engine 15,sales-engine-15-processor-srv-86,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,Aurora PostgreSQL 14,db-cluster-935,Multi-AZ,EKS
infra-87,Sales Engine 15,sales-engine-15-backend-srv-87,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,Aurora MySQL 8.0,db-cluster-179,Active/Active,EKS
infra-88,Sales Engine 15,sales-engine-15-backend-srv-88,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Staging,,Linux,Amazon Linux 2,DynamoDB,db-cluster-764,Active/Backup,EKS
infra-89,Sales Engine 15,sales-engine-15-frontend-srv-89,m5.xlarge,4 vCPU,16 GB,200 GB SSD,us-east-1,Production,,Windows,Windows Server 2022,MySQL 8.0,db-cluster-447,Active/Backup,None
infra-90,Sales Engine 15,sales-engine-15-frontend-srv-90,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2023,Redis 7.0,db-cluster-336,Active/Backup,ECS
infra-91,Sales Engine 15,sales-engine-15-api-srv-91,t3.large,2 vCPU,8 GB,80 GB SSD,us-west-2,Production,Primary instance,Linux,Ubuntu 22.04,PostgreSQL 15,db-cluster-205,Active/Active,EKS
infra-92,Sales Engine 15,sales-engine-15-api-srv-92,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2,MySQL 8.0,db-cluster-838,Single Instance,ECS
infra-93,Sales Engine 15,sales-engine-15-backend-srv-93,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,Primary instance,Windows,Windows Server 2019,Aurora MySQL 8.0,db-cluster-339,Active/Active,ECS
infra-94,Sales Engine 15,sales-engine-15-backend-srv-94,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-west-2,Staging,,Windows,Windows Server 2019,PostgreSQL 15,db-cluster-321,Multi-AZ,Kubernetes
infra-95,Sales Dashboard,sales-dashboard-srv-95,t3.small,2 vCPU,2 GB,30 GB SSD,us-east-1,Production,,Windows,Windows Server 2022,PostgreSQL 15,db-cluster-107,Multi-AZ,EKS
infra-96,Sales Dashboard,sales-dashboard-srv-96,t3.small,2 vCPU,2 GB,30 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,PostgreSQL 13,db-cluster-730,Active/Backup,EKS
infra-97,Manufacturing Portal 17,manufacturing-portal-17-service-srv-97,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-west-2,Production,Primary instance,Linux,Ubuntu 22.04,PostgreSQL 15,db-cluster-195,Multi-AZ,EKS
infra-98,Manufacturing Portal 17,manufacturing-portal-17-service-srv-98,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2023,PostgreSQL 14,db-cluster-404,Active/Active,Kubernetes
infra-99,Manufacturing Portal 17,manufacturing-portal-17-backend-srv-99,m5.2xlarge,8 vCPU,32 GB,400 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2,MySQL 8.0,db-cluster-232,Active/Active,ECS
infra-100,Manufacturing Portal 17,manufacturing-portal-17-backend-srv-100,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-east-1,Staging,,Windows,Windows Server 2019,Redis 7.0,db-cluster-394,Multi-AZ,None
infra-101,Manufacturing Portal 17,manufacturing-portal-17-service-srv-101,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-west-2,Production,,Windows,Windows Server 2019,PostgreSQL 15,db-cluster-321,Multi-AZ,ECS
infra-102,Manufacturing Portal 17,manufacturing-portal-17-service-srv-102,c5.xlarge,4 vCPU,8 GB,160 GB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,DynamoDB,db-cluster-882,Single Instance,Kubernetes
infra-103,Manufacturing Portal 17,manufacturing-portal-17-worker-srv-103,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-west-2,Production,,Windows,Windows Server 2022,Aurora MySQL 8.0,db-cluster-253,Multi-AZ,None
infra-104,Manufacturing Portal 17,manufacturing-portal-17-worker-srv-104,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-east-1,Staging,,Windows,Windows Server 2019,PostgreSQL 14,db-cluster-425,Active/Backup,EKS
infra-105,Manufacturing Portal 17,manufacturing-portal-17-api-srv-105,c5.2xlarge,8 vCPU,16 GB,320 GB SSD,us-east-1,Production,Primary instance,Windows,Windows Server 2019,Aurora PostgreSQL 14,db-cluster-463,Multi-AZ,None
infra-106,Manufacturing Portal 17,manufacturing-portal-17-api-srv-106,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,PostgreSQL 13,db-cluster-663,Active/Backup,ECS
infra-107,Customer Service Dashboard,customer-service-dashboard-service-srv-107,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-west-2,Production,,Windows,Windows Server 2022,MongoDB 6.0,db-cluster-919,Single Instance,EKS
infra-108,Customer Service Dashboard,customer-service-dashboard-service-srv-108,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-west-2,Staging,,Linux,Ubuntu 20.04,PostgreSQL 14,db-cluster-585,Single Instance,Kubernetes
infra-109,Customer Service Dashboard,customer-service-dashboard-processor-srv-109,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Production,Primary instance,Linux,Ubuntu 22.04,Aurora MySQL 8.0,db-cluster-115,Active/Backup,ECS
infra-110,Customer Service Dashboard,customer-service-dashboard-processor-srv-110,r5.xlarge,4 vCPU,32 GB,200 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2023,PostgreSQL 13,db-cluster-134,Active/Active,EKS
infra-111,Customer Service Dashboard,customer-service-dashboard-service-srv-111,i3.large,2 vCPU,15.25 GB,475 GB SSD,us-west-2,Production,,Windows,Amazon Linux 2,PostgreSQL 15,db-cluster-253,Active/Active,None
infra-112,Customer Service Dashboard,customer-service-dashboard-service-srv-112,i3.2xlarge,8 vCPU,61 GB,1.9 TB SSD,us-west-2,Staging,,Linux,Ubuntu 22.04,PostgreSQL 15,db-cluster-754,Single Instance,None
infra-113,Customer Service Dashboard,customer-service-dashboard-worker-srv-113,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-east-1,Production,,Linux,Amazon Linux 2,PostgreSQL 14,db-cluster-355,Active/Backup,EKS
infra-114,Customer Service Dashboard,customer-service-dashboard-worker-srv-114,t3.micro,2 vCPU,1 GB,20 GB SSD,us-west-2,Staging,,Windows,Amazon Linux 2,PostgreSQL 15,db-cluster-325,Multi-AZ,ECS
infra-115,Customer Service Dashboard,customer-service-dashboard-frontend-srv-115,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,Redis 7.0,db-cluster-951,Active/Active,Kubernetes
infra-116,Customer Service Dashboard,customer-service-dashboard-frontend-srv-116,t3.medium,2 vCPU,4 GB,40 GB SSD,us-east-1,Staging,,Linux,Ubuntu 20.04,PostgreSQL 13,db-cluster-674,Active/Backup,ECS
infra-117,Business Development Platform,business-development-platform-backend-srv-117,t3.medium,2 vCPU,4 GB,40 GB SSD,us-west-2,Production,,Windows,Windows Server 2019,MongoDB 6.0,db-cluster-137,Multi-AZ,ECS
infra-118,Business Development Platform,business-development-platform-backend-srv-118,r5.large,2 vCPU,16 GB,100 GB SSD,us-east-1,Staging,,Windows,Windows Server 2022,PostgreSQL 13,db-cluster-611,Single Instance,None
infra-119,Business Development Platform,business-development-platform-service-srv-119,m5.4xlarge,16 vCPU,64 GB,800 GB SSD,us-west-2,Production,,Linux,Amazon Linux 2,MySQL 8.0,db-cluster-598,Active/Backup,EKS
infra-120,Business Development Platform,business-development-platform-service-srv-120,t3.micro,2 vCPU,1 GB,20 GB SSD,us-east-1,Staging,,Linux,Amazon Linux 2,MySQL 8.0,db-cluster-937,Multi-AZ,None
infra-121,Business Development Platform,business-development-platform-frontend-srv-121,r5.4xlarge,16 vCPU,128 GB,800 GB SSD,us-west-2,Production,Primary instance,Windows,Amazon Linux 2023,Aurora PostgreSQL 14,db-cluster-533,Active/Active,Kubernetes
infra-122,Business Development Platform,business-development-platform-frontend-srv-122,t3.xlarge,4 vCPU,16 GB,160 GB SSD,us-east-1,Staging,,Windows,Ubuntu 22.04,Redis 7.0,db-cluster-758,Single Instance,ECS
infra-123,Manufacturing Tool,manufacturing-tool-service-srv-123,i3.xlarge,4 vCPU,30.5 GB,950 GB SSD,us-east-1,Production,,Linux,Ubuntu 22.04,PostgreSQL 14,db-cluster-101,Multi-AZ,EKS
